ENSMUSG00000020152	Actr2
ENSMUSG00000026836	Acvr1
ENSMUSG00000061393	Acvr2b
ENSMUSG00000031486	Adgra2
ENSMUSG00000054452	Aes
ENSMUSG00000054932	Afp
ENSMUSG00000001729	Akt1
ENSMUSG00000004056	Akt2
ENSMUSG00000019699	Akt3
ENSMUSG00000005871	Apc
ENSMUSG00000040694	Apobec2
ENSMUSG00000001127	Araf
ENSMUSG00000015522	Arnt
ENSMUSG00000020052	Ascl1
ENSMUSG00000073043	Atoh1
ENSMUSG00000024182	Axin1
ENSMUSG00000009681	Bcr
ENSMUSG00000026739	Bmi1
ENSMUSG00000021835	Bmp4
ENSMUSG00000021796	Bmpr1a
ENSMUSG00000052430	Bmpr1b
ENSMUSG00000067336	Bmpr2
ENSMUSG00000002413	Braf
ENSMUSG00000031628	Casp3
ENSMUSG00000025577	Cbx2
ENSMUSG00000039989	Cbx4
ENSMUSG00000025578	Cbx8
ENSMUSG00000027715	Ccna2
ENSMUSG00000041431	Ccnb1
ENSMUSG00000070348	Ccnd1
ENSMUSG00000000184	Ccnd2
ENSMUSG00000034165	Ccnd3
ENSMUSG00000002068	Ccne1
ENSMUSG00000030342	Cd9
ENSMUSG00000032477	Cdc25a
ENSMUSG00000025358	Cdk2
ENSMUSG00000006728	Cdk4
ENSMUSG00000040274	Cdk6
ENSMUSG00000023067	Cdkn1a
ENSMUSG00000003031	Cdkn1b
ENSMUSG00000044303	Cdkn2a
ENSMUSG00000029646	Cdx2
ENSMUSG00000028298	Cga
ENSMUSG00000049422	Chchd10
ENSMUSG00000018474	Chd3
ENSMUSG00000035632	Cnot3
ENSMUSG00000022521	Crebbp
ENSMUSG00000005698	Ctcf
ENSMUSG00000019997	Ctgf
ENSMUSG00000006932	Ctnnb1
ENSMUSG00000022718	Dgcr8
ENSMUSG00000106687	Dgcr8
ENSMUSG00000041415	Dicer1
ENSMUSG00000004099	Dnmt1
ENSMUSG00000020661	Dnmt3a
ENSMUSG00000027478	Dnmt3b
ENSMUSG00000046323	Dppa3
ENSMUSG00000060461	Dppa5a
ENSMUSG00000022191	Drosha
ENSMUSG00000019960	Dusp6
ENSMUSG00000029071	Dvl1
ENSMUSG00000020888	Dvl2
ENSMUSG00000003233	Dvl3
ENSMUSG00000027490	E2f1
ENSMUSG00000018983	E2f2
ENSMUSG00000016477	E2f3
ENSMUSG00000014859	E2f4
ENSMUSG00000027552	E2f5
ENSMUSG00000057469	E2f6
ENSMUSG00000020185	E2f7
ENSMUSG00000046179	E2f8
ENSMUSG00000030619	Eed
ENSMUSG00000034994	Eef2
ENSMUSG00000028017	Egf
ENSMUSG00000020122	Egfr
ENSMUSG00000013787	Ehmt2
ENSMUSG00000027186	Elf5
ENSMUSG00000022338	Eny2
ENSMUSG00000032446	Eomes
ENSMUSG00000055024	Ep300
ENSMUSG00000032537	Ephb1
ENSMUSG00000031160	Eras
ENSMUSG00000021255	Esrrb
ENSMUSG00000023443	Esx1
ENSMUSG00000005503	Evx1
ENSMUSG00000006920	Ezh1
ENSMUSG00000029687	Ezh2
ENSMUSG00000034391	Fbxo15
ENSMUSG00000036585	Fgf1
ENSMUSG00000021732	Fgf10
ENSMUSG00000042826	Fgf11
ENSMUSG00000022523	Fgf12
ENSMUSG00000031137	Fgf13
ENSMUSG00000025551	Fgf14
ENSMUSG00000031073	Fgf15
ENSMUSG00000031230	Fgf16
ENSMUSG00000022101	Fgf17
ENSMUSG00000057967	Fgf18
ENSMUSG00000037225	Fgf2
ENSMUSG00000031603	Fgf20
ENSMUSG00000030827	Fgf21
ENSMUSG00000020327	Fgf22
ENSMUSG00000000182	Fgf23
ENSMUSG00000031074	Fgf3
ENSMUSG00000050917	Fgf4
ENSMUSG00000029337	Fgf5
ENSMUSG00000000183	Fgf6
ENSMUSG00000027208	Fgf7
ENSMUSG00000025219	Fgf8
ENSMUSG00000021974	Fgf9
ENSMUSG00000031565	Fgfr1
ENSMUSG00000030849	Fgfr2
ENSMUSG00000054252	Fgfr3
ENSMUSG00000005320	Fgfr4
ENSMUSG00000029227	Fip1l1
ENSMUSG00000021250	Fos
ENSMUSG00000067261	Foxd3
ENSMUSG00000044674	Fzd1
ENSMUSG00000050288	Fzd2
ENSMUSG00000007989	Fzd3
ENSMUSG00000049791	Fzd4
ENSMUSG00000045005	Fzd5
ENSMUSG00000022297	Fzd6
ENSMUSG00000107137	Fzd6
ENSMUSG00000041075	Fzd7
ENSMUSG00000036904	Fzd8
ENSMUSG00000049551	Fzd9
ENSMUSG00000009633	G0s2
ENSMUSG00000031714	Gab1
ENSMUSG00000008976	Gabpa
ENSMUSG00000021944	Gata4
ENSMUSG00000005836	Gata6
ENSMUSG00000030117	Gdf3
ENSMUSG00000050953	Gja1
ENSMUSG00000025407	Gli1
ENSMUSG00000059923	Grb2
ENSMUSG00000049583	Grm5
ENSMUSG00000022812	Gsk3b
ENSMUSG00000060743	H3f3a
ENSMUSG00000016559	H3f3b
ENSMUSG00000037335	Hand1
ENSMUSG00000031386	Hcfc1
ENSMUSG00000028800	Hdac1
ENSMUSG00000019777	Hdac2
ENSMUSG00000004698	Hdac9
ENSMUSG00000022528	Hes1
ENSMUSG00000040726	Hesx1
ENSMUSG00000021109	Hif1a
ENSMUSG00000029556	Hnf1a
ENSMUSG00000020679	Hnf1b
ENSMUSG00000017950	Hnf4a
ENSMUSG00000025499	Hras
ENSMUSG00000038239	Hrc
ENSMUSG00000090877	Hspa1b
ENSMUSG00000037405	Icam1
ENSMUSG00000042745	Id1
ENSMUSG00000020644	Id2
ENSMUSG00000020009	Ifngr1
ENSMUSG00000031537	Ikbkb
ENSMUSG00000042349	Ikbke
ENSMUSG00000004221	Ikbkg
ENSMUSG00000018654	Ikzf1
ENSMUSG00000021756	Il6st
ENSMUSG00000037035	Inhbb
ENSMUSG00000026288	Inpp5d
ENSMUSG00000055980	Irs1
ENSMUSG00000031734	Irx3
ENSMUSG00000028530	Jak1
ENSMUSG00000052684	Jun
ENSMUSG00000036940	Kdm1a
ENSMUSG00000053470	Kdm3a
ENSMUSG00000028397	Kdm4c
ENSMUSG00000062960	Kdr
ENSMUSG00000055148	Klf2
ENSMUSG00000003032	Klf4
ENSMUSG00000005148	Klf5
ENSMUSG00000063903	Klk1
ENSMUSG00000030246	Ldhb
ENSMUSG00000027985	Lef1
ENSMUSG00000038793	Lefty1
ENSMUSG00000066652	Lefty2
ENSMUSG00000034394	Lif
ENSMUSG00000054263	Lifr
ENSMUSG00000050966	Lin28a
ENSMUSG00000024913	Lrp5
ENSMUSG00000030201	Lrp6
ENSMUSG00000032495	Lrrc2
ENSMUSG00000067367	Lyar
ENSMUSG00000004936	Map2k1
ENSMUSG00000035027	Map2k2
ENSMUSG00000018932	Map2k3
ENSMUSG00000058444	Map2k5
ENSMUSG00000020623	Map2k6
ENSMUSG00000063358	Mapk1
ENSMUSG00000022610	Mapk12
ENSMUSG00000063065	Mapk3
ENSMUSG00000024558	Mapk4
ENSMUSG00000042688	Mapk6
ENSMUSG00000001034	Mapk7
ENSMUSG00000035478	Mbd3
ENSMUSG00000020184	Mdm2
ENSMUSG00000079487	Med12
ENSMUSG00000033943	Mga
ENSMUSG00000039395	Mreg
ENSMUSG00000048450	Msx1
ENSMUSG00000021144	Mta1
ENSMUSG00000071646	Mta2
ENSMUSG00000028991	Mtor
ENSMUSG00000017861	Mybl2
ENSMUSG00000022346	Myc
ENSMUSG00000037169	Mycn
ENSMUSG00000000435	Myf5
ENSMUSG00000030672	Mylpf
ENSMUSG00000001910	Nacc1
ENSMUSG00000012396	Nanog
ENSMUSG00000026234	Ncl
ENSMUSG00000013465	Nelfb
ENSMUSG00000004891	Nes
ENSMUSG00000028163	Nfkb1
ENSMUSG00000025225	Nfkb2
ENSMUSG00000016409	Nkap
ENSMUSG00000027434	Nkx2-2
ENSMUSG00000058669	Nkx2-9
ENSMUSG00000048616	Nog
ENSMUSG00000026923	Notch1
ENSMUSG00000025056	Nr0b1
ENSMUSG00000069171	Nr2f1
ENSMUSG00000030551	Nr2f2
ENSMUSG00000026398	Nr5a2
ENSMUSG00000063972	Nr6a1
ENSMUSG00000021848	Otx2
ENSMUSG00000003437	Paf1
ENSMUSG00000004872	Pax3
ENSMUSG00000042323	Pbrm1
ENSMUSG00000018537	Pcgf2
ENSMUSG00000025050	Pcgf6
ENSMUSG00000038542	Pcid2
ENSMUSG00000006007	Pdc
ENSMUSG00000025856	Pdgfa
ENSMUSG00000000489	Pdgfb
ENSMUSG00000029231	Pdgfra
ENSMUSG00000024620	Pdgfrb
ENSMUSG00000006494	Pdk1
ENSMUSG00000040374	Pex2
ENSMUSG00000040669	Phc1
ENSMUSG00000028796	Phc2
ENSMUSG00000027665	Pik3ca
ENSMUSG00000032462	Pik3cb
ENSMUSG00000039936	Pik3cd
ENSMUSG00000041417	Pik3r1
ENSMUSG00000031834	Pik3r2
ENSMUSG00000024014	Pim1
ENSMUSG00000035828	Pim3
ENSMUSG00000036986	Pml
ENSMUSG00000039771	Polr2j
ENSMUSG00000024406	Pou5f1
ENSMUSG00000028882	Ppp1r8
ENSMUSG00000021948	Prkcd
ENSMUSG00000021466	Ptch1
ENSMUSG00000013663	Pten
ENSMUSG00000043733	Ptpn11
ENSMUSG00000030854	Ptpn5
ENSMUSG00000031506	Ptpn7
ENSMUSG00000020151	Ptprr
ENSMUSG00000000441	Raf1
ENSMUSG00000022105	Rb1
ENSMUSG00000031353	Rbbp7
ENSMUSG00000020275	Rel
ENSMUSG00000024927	Rela
ENSMUSG00000002983	Relb
ENSMUSG00000029249	Rest
ENSMUSG00000036202	Rif1
ENSMUSG00000024325	Ring1
ENSMUSG00000026484	Rnf2
ENSMUSG00000040866	Rsph6a
ENSMUSG00000031665	Sall1
ENSMUSG00000024565	Sall3
ENSMUSG00000027547	Sall4
ENSMUSG00000000085	Scmh1
ENSMUSG00000000037	Scml2
ENSMUSG00000034684	Sema3f
ENSMUSG00000064373	Sepp1
ENSMUSG00000024949	Sf1
ENSMUSG00000002633	Shh
ENSMUSG00000042557	Sin3a
ENSMUSG00000027660	Skil
ENSMUSG00000003153	Slc2a3
ENSMUSG00000031681	Smad1
ENSMUSG00000024515	Smad4
ENSMUSG00000021540	Smad5
ENSMUSG00000036867	Smad6
ENSMUSG00000025880	Smad7
ENSMUSG00000027796	Smad9
ENSMUSG00000024921	Smarca2
ENSMUSG00000032187	Smarca4
ENSMUSG00000041133	Smc1a
ENSMUSG00000001761	Smo
ENSMUSG00000024241	Sos1
ENSMUSG00000096014	Sox1
ENSMUSG00000063632	Sox11
ENSMUSG00000041287	Sox15
ENSMUSG00000074637	Sox2
ENSMUSG00000045179	Sox3
ENSMUSG00000001280	Sp1
ENSMUSG00000029304	Spp1
ENSMUSG00000079442	St6galnac4
ENSMUSG00000004040	Stat3
ENSMUSG00000026021	Sumo1
ENSMUSG00000017548	Suz12
ENSMUSG00000018604	Tbx3
ENSMUSG00000020167	Tcf3
ENSMUSG00000053477	Tcf4
ENSMUSG00000041359	Tcl1
ENSMUSG00000030353	Tead4
ENSMUSG00000021611	Tert
ENSMUSG00000047146	Tet1
ENSMUSG00000009733	Tfcp2
ENSMUSG00000036442	Thap11
ENSMUSG00000022760	Thap7
ENSMUSG00000005566	Trim28
ENSMUSG00000059552	Trp53
ENSMUSG00000027716	Trpc3
ENSMUSG00000015120	Ube2i
ENSMUSG00000047751	Utf1
ENSMUSG00000023951	Vegfa
ENSMUSG00000033933	Vhl
ENSMUSG00000022997	Wnt1
ENSMUSG00000026167	Wnt10a
ENSMUSG00000022996	Wnt10b
ENSMUSG00000015957	Wnt11
ENSMUSG00000029671	Wnt16
ENSMUSG00000010797	Wnt2
ENSMUSG00000027840	Wnt2b
ENSMUSG00000000125	Wnt3
ENSMUSG00000009900	Wnt3a
ENSMUSG00000036856	Wnt4
ENSMUSG00000021994	Wnt5a
ENSMUSG00000030170	Wnt5b
ENSMUSG00000033227	Wnt6
ENSMUSG00000030093	Wnt7a
ENSMUSG00000022382	Wnt7b
ENSMUSG00000018486	Wnt9b
ENSMUSG00000086503	Xist
ENSMUSG00000021264	Yy1
ENSMUSG00000034610	Zcchc11
ENSMUSG00000061079	Zfp143
ENSMUSG00000041483	Zfp281
ENSMUSG00000051176	Zfp42
ENSMUSG00000036036	Zfp57
ENSMUSG00000049577	Zfpm1
ENSMUSG00000079509	Zfx
ENSMUSG00000067860	Zic3
ENSMUSG00000023902	Zscan10
